Category_En,Category_Vi,Tag_En,Tag_Vi,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Compensation,mức lương,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Compensation negociation,thỏa thuận lương,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Software developer,kỹ sư phát triển phần mềm,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Software engineer,kỹ sư phần mềm,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Front-end developer,lập trình viên Front-end,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Back-end developer,lập trình viên Back-end,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Doordash,Doordash,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,JPMorgan Chase & Co.,JPMorgan Chase & Co.,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,SDE,kỹ sư phát triển phần mềm,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Product manager,quản lý dự án,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Graphic design,thiết kế đồ họa,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,e-commerce,thương mại điện tử,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Art director,Art director,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Interview preparation,chuẩn bị cho phỏng vấn,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Adobe,adobe,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,SQL,SQL,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Leetcode,Leetcode,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Wayfair,Wayfair,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Consulting,kiểm toán,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Investment banking,ngân hàng đầu tư,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Big4,Big4,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,BCG,BCG,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Algorithm,thuật toán,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Work culture,văn hóa công ty,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Work Life Balance,Work Life Balance,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Phone interview,phỏng vấn qua điện thoại,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Coding interview,phỏng vấn code,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Spotify,Spotify,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Booking.com,booking.com,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,UX Designer,thiết kế UX,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,UI Designer,thiết kế UI,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Yelp,Yelp,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Startup,khởi nghiệp,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Venture Capital,quỹ đầu tư,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Investor,nhà đầu tư,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Verizon,verizon,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Retail,bán lẻ,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Slack,slack,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Dropbox,dropbox,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,eBay,eBay,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,SEO,SEO,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Marketing,Marketing,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,salary,mức lương,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,compensation,chế độ lương/thưởng,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,Find job,Tìm việc,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,Visa,Visa,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,H1B,H1B,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,green card,Thẻ xanh,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,Visa interview,phỏng vấn visa,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,Interview,phỏng vấn,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,citizenship,xin quốc tịch,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,lottery,xổ số,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,F1/J1,F1/J1,,,,,,,,,,,,,,,,,,,,,,
Immigration,Định cư,OPT,chương trình OPT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Others ,Vấn đề khác,on-campus living,thuê nhà trong trường,,,,,,,,,,,,,,,,,,,,,,
Others ,Vấn đề khác,off-campus living,thuê nhà ngoài trường,,,,,,,,,,,,,,,,,,,,,,
Others ,Vấn đề khác,work life balance,cân bằng cuộc sống,,,,,,,,,,,,,,,,,,,,,,
Others ,Vấn đề khác,social activities,hoạt động xã hội,,,,,,,,,,,,,,,,,,,,,,
Others ,Vấn đề khác,house renting,thuê nhà,,,,,,,,,,,,,,,,,,,,,,
Others ,Vấn đề khác,student life,cuộc sống du học,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
